CHR	原始拆分	替换拆分
悲	非心丶ㄋ丶丶	非心丶ㄋ丶丶
拍	扌白丿丨ㄋ一	扌白丿丨ㄋ一
丁	于一丨丨丨丨	于一丨丨丨丨
赵	走乂丿丶丶丶	走乂丿丶丶丶
硬	石更一丨ㄋ一	石更一丨ㄋ一
麦	丰文丿ㄋ丶丶	丰文丿ㄋ丶丶
蒋	艹北丿ㄋ丶丶	艹北丿ㄋ丶丶
操	扌口丨ㄋ一丨	扌口丨ㄋ一丨
耶	耳耳ㄋ丨丨丨	耳耳ㄋ丨丨丨
阻	耳目丨ㄋ一一	耳目丨ㄋ一一
订	讠于一丨丨丨	讠于一丨丨丨
彩	爪木丿丿丿丿	爪木丿丿丿丿
抽	扌甲丨ㄋ一丨	扌甲丨ㄋ一丨
赞	先先丨ㄋ丿丶	先先丨ㄋ丿丶
魔	麻鬼丿丨ㄋ一	麻鬼丿丨ㄋ一
纷	纟分丿丶ㄋ丿	纟分丿丶ㄋ丿
沿	氵几丨ㄋ一一	氵几丨ㄋ一一
喊	口戊一丨ㄋ一	口戊一丨ㄋ一
违	韦辶丶ㄋ丶丶	韦辶丶ㄋ丶丶
妹	女未丨丿丶丶	女未丨丿丶丶
浪	氵笔ㄋ一一ㄋ	氵笔ㄋ一一ㄋ
汇	氵匚一ㄋㄋㄋ	氵匚一ㄋㄋㄋ
币	笔巾丨ㄋ丨丨	笔巾丨ㄋ丨丨
丰	丰一一一丨丨	丰一一一丨丨
蓝	艹丨ㄋ丨丨	艹丨ㄋ丨丨
殊	歹笔丨丿丶丶	歹笔丨丿丶丶
献	十冂丶丿一一	十冂丶丿一一
桌	卜日一丨丿丶	卜日一丨丿丶
啦	口扌丶一丶丿	口扌丶一丶丿
瓦	瓦一ㄋㄋ丶丶	瓦一ㄋㄋ丶丶
莱	艹夹丨丿丶丶	艹夹丨丿丶丶
援	扌爪一一丿ㄋ	扌爪一一丿ㄋ
译	讠双一一丨丨	讠双一一丨丨
夺	大寸一丨丶丶	大寸一丨丶丶
汽	氵气丿一一ㄋ	氵气丿一一ㄋ
烧	火尧一丿ㄋㄋ	火尧一丿ㄋㄋ
距	匚ㄋ一一一	匚ㄋ一一一
裁	衣丶一丿ㄋ	衣丶一丿ㄋ
偏	亻户丨ㄋ一丨	亻户丨ㄋ一丨
符	亻一丨丶丶	亻一丨丶丶
勇	甬力ㄋ丿丿丿	甬力ㄋ丿丿丿
触	角虫丨ㄋ一丨	角虫丨ㄋ一丨
课	讠日一丨丿丶	讠日一丨丿丶
敬	芍口丿一丿丶	芍口丿一丿丶
哭	吅犬一丿丶丶	吅犬一丿丶丶
懂	忄艹丿一丨丨	忄艹丿一丨丨
墙	土十丶丿一丨	土十丶丿一丨
袭	龙衣丶一丿ㄋ	龙衣丶一丿ㄋ
召	刀口丨ㄋ一一	刀口丨ㄋ一一
罚	四讠丨丨丨丨	四讠丨丨丨丨
侠	亻夹丿丶丶丶	亻夹丿丶丶丶
厅	广于一丨丨丨	广于一丨丨丨
拜	手笔一一一丨	手笔一一一丨
巧	工丂一ㄋㄋㄋ	工丂一ㄋㄋㄋ
侧	亻贝丨丨丨丨	亻贝丨丨丨丨
韩	韦一一ㄋ丨	韦一一ㄋ丨
冒	日目丨ㄋ一一	日目丨ㄋ一一
债	亻丰丨ㄋ丿丶	亻丰丨ㄋ丿丶
曼	日四ㄋ丶丶丶	日四ㄋ丶丶丶
融	鬲虫丨ㄋ一丨	鬲虫丨ㄋ一丨
惯	忄母丨ㄋ丿丶	忄母丨ㄋ丿丶
享	子ㄋ丨一一	子ㄋ丨一一
戴	田一丨丨一	田一丨丨一
童	立田丨ㄋ一一	立田丨ㄋ一一
犹	犬尢丶丶丶丶	犬尢丶丶丶丶
乘	禾北丨一一丿	禾北丨一一丿
挂	扌圭一丨一一	扌圭一丨一一
奖	北歹一丿丶丶	北歹一丿丶丶
绍	纟刀丨ㄋ一一	纟刀丨ㄋ一一
厚	广日ㄋ丨一一	广日ㄋ丨一一
纵	纟从丿丶丿丶	纟从丿丶丿丶
障	耳音一丨丨丨	耳音一丨丨丨
讯	讠乙一丨丨丨	讠乙一丨丨丨
涉	氵止丨丿丿丿	氵止丨丿丿丿
彻	彳七ㄋ丿丿丿	彳七ㄋ丿丿丿
刊	舌刂丨丨丨丨	舌刂丨丨丨丨
丈	石笔丶丶丶丶	石笔丶丶丶丶
爆	火日一丨丨一	火日一丨丨一
乌	勹㇉一一一一	勹Z一一一一
役	彳殳丿ㄋㄋ丶	彳殳丿ㄋㄋ丶
描	扌艹丨ㄋ一丨	扌艹丨ㄋ一丨
洗	氵先丿一丨一	氵先丿一丨一
玛	王马ㄋㄋ一一	王马ㄋㄋ一一
患	口中丶ㄋ丶丶	口中丶ㄋ丶丶
妙	女少丨丿丶丿	女少丨丿丶丿
镜	金音丿ㄋㄋㄋ	金音丿ㄋㄋㄋ
唱	口日丨ㄋ一一	口日丨ㄋ一一
烦	火页一丿丨ㄋ	火页一丿丨ㄋ
签	亼丶丶丿一	亼丶丶丿一
仙	亻山丨ㄋ丨丨	亻山丨ㄋ丨丨
彼	彳皮ㄋ丿丨ㄋ	彳皮ㄋ丿丨ㄋ
弗	弓刂丿丨丨丨	弓刂丿丨丨丨
症	疒正一丨一丨	疒正一丨一丨
仿	亻方丶一ㄋ丿	亻方丶一ㄋ丿
倾	亻七一丿丨ㄋ	亻七一丿丨ㄋ
牌	片卑丿丨ㄋ一	片卑丿丨ㄋ一
陷	耳鱼丿丨一ㄋ	耳鱼丿丨一ㄋ
鸟	鸟丿ㄋ丶ㄋㄋ	鸟丿ㄋ丶ㄋㄋ
轰	车双ㄋ丶ㄋ丶	车双ㄋ丶ㄋ丶
咱	口自丿丨ㄋ一	口自丿丨ㄋ一
菜	艹爪一丨丿丶	艹爪一丨丿丶
闭	门㇉一丨丿丿	门Z一丨丿丿
奋	大田丨ㄋ一丨	大田丨ㄋ一丨
庆	广大一丿丶丶	广大一丿丶丶
撤	扌亡丨ㄋ一一	扌亡丨ㄋ一一
泪	氵目丨ㄋ一一	氵目丨ㄋ一一
茶	艹人一丨丿丶	艹人一丨丿丶
疾	疒矢丿一一丿	疒矢丿一一丿
缘	纟彑丿ㄋ丿丿	纟彑丿ㄋ丿丿
播	扌釆丨ㄋ一丨	扌釆丨ㄋ一丨
朗	笔丿ㄋ一一	笔丿ㄋ一一
杜	木土一丨一一	木土一丨一一
奶	女乃ㄋ丿丿丿	女乃ㄋ丿丿丿
季	禾子ㄋ丨一一	禾子ㄋ丨一一
丹	冂亠丶一一一	冂亠丶一一一
狗	犬勹丨ㄋ一一	犬勹丨ㄋ一一
尾	尸毛丿一一ㄋ	尸毛丿一一ㄋ
仪	亻义丶丿丶丶	亻义丶丿丶丶
偷	亻亼丨ㄋ一一	亻亼丨ㄋ一一
奔	大十一丿丨丨	大十一丿丨丨
珠	王笔丨丿丶丶	王笔丨丿丶丶
虫	虫丨ㄋ一丨一	虫丨ㄋ一丨一
驻	马主丶一一丨	马主丶一一丨
孔	子乙ㄋㄋㄋㄋ	子乙ㄋㄋㄋㄋ
宜	宀目丨ㄋ一一	宀目丨ㄋ一一
艾	艹乂丿丶丶丶	艹乂丿丶丶丶
桥	木天丿丨丨丨	木天丿丨丨丨
淡	氵火丶丿丿丶	氵火丶丿丿丶
翼	羽田一丨丨一	羽田一丨丨一
恨	忄艮ㄋ一一ㄋ	忄艮ㄋ一一ㄋ
繁	母丿一丿丶	母丿一丿丶
寒	寒冫丶丶丶丶	寒冫丶丶丶丶
伴	亻半丶丿一一	亻半丶丿一一
叹	口双ㄋ丶丶丶	口双ㄋ丶丶丶
旦	旦丨ㄋ一一一	旦丨ㄋ一一一
愈	亼月丨丨丶ㄋ	亼月丨丨丶ㄋ
潮	氵丿ㄋ一一	氵丿ㄋ一一
粮	米笔ㄋ一一ㄋ	米笔ㄋ一一ㄋ
缩	纟宀丿丶丶丶	纟宀丿丶丶丶
罢	四去一丨一ㄋ	四去一丨一ㄋ
聚	耳双丿丨丿丿	耳双丿丨丿丿
径	彳轻ㄋ丶一丨	彳轻ㄋ丶一丨
恰	忄合丿丶一丨	忄合丿丶一丨
挑	扌儿丶一丿丶	扌儿丶一丿丶
袋	代衣丶一丿ㄋ	代衣丶一丿ㄋ
灰	石火丶丿丿丶	石火丶丿丿丶
捕	扌甫一丨ㄋ一	扌甫一丨ㄋ一
徐	彳亼一丨丿丶	彳亼一丨丿丶
珍	王人丿丿丿丿	王人丿丿丿丿
幕	莫巾丨ㄋ丨丨	莫巾丨ㄋ丨丨
映	日冂一丿丶丶	日冂一丿丶丶
裂	歹刂丶一丿ㄋ	歹刂丶一丿ㄋ
泰	水丨丶一丿	水丨丶一丿
隔	耳鬲一丨ㄋ一	耳鬲一丨ㄋ一
启	户口丨ㄋ一一	户口丨ㄋ一一
尖	小大一丿丶丶	小大一丿丶丶
忠	中心丶ㄋ丶丶	中心丶ㄋ丶丶
累	田糸ㄋㄋ丶丨	田糸ㄋㄋ丶丨
炎	火火丶丿丿丶	火火丶丿丿丶
暂	车丘丨ㄋ一一	车丘丨ㄋ一一
估	亻古一丨丨ㄋ	亻古一丨丨ㄋ
泛	氵笔丶ㄋ丶丶	氵笔丶ㄋ丶丶
荒	艹亡丿丨ㄋㄋ	艹亡丿丨ㄋㄋ
偿	亻丶ㄋ一一	亻丶ㄋ一一
横	木共丨ㄋ一丨	木共丨ㄋ一丨
拒	扌匚ㄋ一一一	扌匚ㄋ一一一
瑞	王山一丿丨ㄋ	王山一丿丨ㄋ
忆	忄乙ㄋㄋㄋㄋ	忄乙ㄋㄋㄋㄋ
孤	子爪丿丿ㄋ丶	子爪丿丿ㄋ丶
鼻	自田丨ㄋ一丨	自田丨ㄋ一丨
闹	门亠丨ㄋ丨丨	门亠丨ㄋ丨丨
羊	羊丶丿一一一	羊丶丿一一一
呆	呆丨ㄋ一一丨	呆丨ㄋ一一丨
厉	广力一ㄋ丿丿	广力一ㄋ丿丿
衡	彳鱼丨ㄋ一丨	彳鱼丨ㄋ一丨
胞	月勹ㄋ一ㄋㄋ	月勹ㄋ一ㄋㄋ
零	令丿丶丶ㄋ	令丿丶丶ㄋ
穷	穴力ㄋ丿丿丿	穴力ㄋ丿丿丿
舍	亼古一丨丨ㄋ	亼古一丨丨ㄋ
码	石马ㄋㄋ一一	石马ㄋㄋ一一
赫	赤赤丿丨丿丶	赤赤丿丨丿丶
婆	氵皮ㄋ丿一一	氵皮ㄋ丿一一
魂	云鬼丿丨ㄋ一	云鬼丿丨ㄋ一
灾	宀火丶丿丿丶	宀火丶丿丿丶
洪	氵共一丨丨一	氵共一丨丨一
腿	月艮丶ㄋ丶丶	月艮丶ㄋ丶丶
胆	月旦丨ㄋ一一	月旦丨ㄋ一一
津	氵聿ㄋ一一一	氵聿ㄋ一一一
俗	亻八丿丶丨ㄋ	亻八丿丶丨ㄋ
辩	辛讠丶一丶丿	辛讠丶一丶丿
胸	月勹丿丶ㄋ丨	月勹丿丶ㄋ丨
晓	日尧一丿ㄋㄋ	日尧一丿ㄋㄋ
劲	轻力ㄋ丿丿丿	轻力ㄋ丿丿丿
仁	亻二一一一一	亻二一一一一
贫	分贝丨ㄋ丿丶	分贝丨ㄋ丿丶
偶	亻日丨ㄋ丨一	亻日丨ㄋ丨一
辑	车口一丨丨一	车口一丨丨一
邦	丰耳ㄋ丨丨丨	丰耳ㄋ丨丨丨
恢	忄石丶丿丿丶	忄石丶丿丿丶
赖	束鱼丨ㄋ丿丶	束鱼丨ㄋ丿丶
圈	口ㄋㄋㄋㄋ	口ㄋㄋㄋㄋ
摸	扌莫一丨丨丨	扌莫一丨丨丨
仰	亻留ㄋ丨丨丨	亻留ㄋ丨丨丨
润	氵门一一丨一	氵门一一丨一
堆	土隹丿丨丶一	土隹丿丨丶一
碰	石䒑丨丨丶丿	石首丨丨丶丿
艇	舟王ㄋ丶丶丶	舟王ㄋ丶丶丶
稍	禾丨ㄋ一一	禾丨ㄋ一一
迟	尺辶丶ㄋ丶丶	尺辶丶ㄋ丶丶
辆	车丙丿丶丿丶	车丙丿丶丿丶
废	广发ㄋ丿ㄋ丶	广发ㄋ丿ㄋ丶
净	冫争丿ㄋㄋ一	冫争丿ㄋㄋ一
凶	乂冂ㄋ丨丨丨	乂冂ㄋ丨丨丨
署	四者一丨一丿	四者一丨一丿
壁	辟土一丨一一	辟土一丨一一
御	彳丨一丨一	彳丨一丨一
奉	土一一丨丨	土一一丨丨
旋	族走ㄋ丨一丿	族走ㄋ丨一丿
冬	文冫丶丶丶丶	文冫丶丶丶丶
矿	石广丶一丿丿	石广丶一丿丿
抬	扌厶丨ㄋ一一	扌厶丨ㄋ一一
蛋	走虫丨ㄋ一丨	走虫丨ㄋ一丨
晨	日辰一丿一一	日辰一丿一一
伏	亻犬一丿丶丶	亻犬一丿丶丶
吹	口欠丿ㄋ丿丶	口欠丿ㄋ丿丶
鸡	双鸟丿ㄋ丶ㄋ	双鸟丿ㄋ丶ㄋ
倍	亻立丨ㄋ一一	亻立丨ㄋ一一
糊	米古丿ㄋ一一	米古丿ㄋ一一
秦	禾一丨丿丶	禾一丨丿丶
盾	广十丨ㄋ一一	广十丨ㄋ一一
杯	木不一丿丨丶	木不一丿丨丶
租	禾目丨ㄋ一一	禾目丨ㄋ一一
骑	马大一丨ㄋ一	马大一丨ㄋ一
乏	笔之丶ㄋ丶丶	笔之丶ㄋ丶丶
隆	耳文一丿一一	耳文一丿一一
诊	讠人丿丿丿丿	讠人丿丿丿丿
奴	奴ㄋ丿一ㄋ丶	奴ㄋ丿一ㄋ丶
摄	扌耳ㄋ丶ㄋ丶	扌耳ㄋ丶ㄋ丶
丧	十䒑ㄋ丿丶丶	十首ㄋ丿丶丶
污	氵二ㄋㄋㄋㄋ	氵二ㄋㄋㄋㄋ
渡	氵度ㄋ丶丶丶	氵度ㄋ丶丶丶
旗	族其一丨丨一	族其一丨丨一
甘	甘一丨丨一一	甘一丨丨一一
耐	而寸一丨丶丶	而寸一丨丶丶
凭	亻王丿ㄋㄋㄋ	亻王丿ㄋㄋㄋ
扎	扌乙ㄋㄋㄋㄋ	扌乙ㄋㄋㄋㄋ
抢	扌人ㄋㄋㄋㄋ	扌人ㄋㄋㄋㄋ
绪	纟者一丨一丿	纟者一丨一丿
粗	米目丨ㄋ一一	米目丨ㄋ一一
肩	户月丨ㄋ一一	户月丨ㄋ一一
梁	氵刀丿丶一丨	氵刀丿丶一丨
幻	幺㇉ㄋㄋㄋㄋ	幺Zㄋㄋㄋㄋ
菲	艹非丨一一一	艹非丨一一一
皆	比白丿丨ㄋ一	比白丿丨ㄋ一
碎	石亠丿丶丿丶	石亠丿丶丿丶
宙	宀甲丨ㄋ一丨	宀甲丨ㄋ一丨
叔	上小ㄋ丶丶丶	上小ㄋ丶丶丶
岩	山石一丿丨ㄋ	山石一丿丨ㄋ
荡	落㇉丿丿丿丿	落Z丿丿丿丿
综	纟宀一一丨丿	纟宀一一丨丿
爬	爪巴ㄋ丨一ㄋ	爪巴ㄋ丨一ㄋ
荷	荷可一丨ㄋ一	荷可一丨ㄋ一
悉	釆心丶ㄋ丶丶	釆心丶ㄋ丶丶
蒂	艹立丨ㄋ丨丨	艹立丨ㄋ丨丨
返	广双丶ㄋ丶丶	广双丶ㄋ丶丶
井	二一一丿丨丨	二一一丿丨丨
壮	北土一丨一一	北土一丨一一
薄	落甫一丨丶丶	落甫一丨丶丶
悄	忄丨ㄋ一一	忄丨ㄋ一一
扫	扌尹ㄋ一一一	扌尹ㄋ一一一
敏	母丿一丿丶	母丿一丿丶
碍	石旦一丨丶丶	石旦一丨丶丶
殖	歹直一丨丨ㄋ	歹直一丨丨ㄋ
详	讠羊丶丿一一	讠羊丶丿一一
迪	甲辶丶ㄋ丶丶	甲辶丶ㄋ丶丶
矛	矛ㄋ丶ㄋ丨丿	矛ㄋ丶ㄋ丨丿
霍	隹丿丨丶一	隹丿丨丶一
允	厶儿丿ㄋㄋㄋ	厶儿丿ㄋㄋㄋ
幅	巾鬲丨ㄋ一丨	巾鬲丨ㄋ一丨
撒	扌共丨ㄋ一一	扌共丨ㄋ一一
剩	禾北丨丨丨丨	禾北丨丨丨丨
凯	山巴丿ㄋㄋㄋ	山巴丿ㄋㄋㄋ
颗	日木一丿丿丿	日木一丿丿丿
骂	吅马ㄋㄋ一一	吅马ㄋㄋ一一
赏	贝丨ㄋ丿丶	贝丨ㄋ丿丶
液	氵亠丿丶丿ㄋ	氵亠丿丶丿ㄋ
番	釆田丨ㄋ一丨	釆田丨ㄋ一丨
箱	相一丨丿丶	相一丨丿丶
贴	贝占丨一丨ㄋ	贝占丨一丨ㄋ
漫	氵日丨ㄋ丨丨	氵日丨ㄋ丨丨
酸	西厶丿丶丿ㄋ	西厶丿丶丿ㄋ
郎	笔ㄋ丨丨丨	笔ㄋ丨丨丨
腰	月西ㄋ丿一一	月西ㄋ丿一一
舒	亼古ㄋ丶ㄋ丨	亼古ㄋ丶ㄋ丨
眉	尸目丨ㄋ一一	尸目丨ㄋ一一
忧	忄尢丶丶丶丶	忄尢丶丶丶丶
浮	氵爪ㄋ丨一一	氵爪ㄋ丨一一
辛	辛丶一丶丿一	辛丶一丶丿一
恋	亦心丶ㄋ丶丶	亦心丶ㄋ丶丶
餐	卜歹ㄋ丶丿丶	卜歹ㄋ丶丿丶
吓	口下一丨丶丶	口下一丨丶丶
挺	扌王ㄋ丶丶丶	扌王ㄋ丶丶丶
励	广力ㄋ丿丿丿	广力ㄋ丿丿丿
辞	舌辛丶一丶丿	舌辛丶一丶丿
艘	舟鼠丨ㄋ丶丶	舟鼠丨ㄋ丶丶
键	金聿ㄋ丶丶丶	金聿ㄋ丶丶丶
伍	亻五一丨ㄋ一	亻五一丨ㄋ一
峰	山文一一一丨	山文一一一丨
尺	尺ㄋ一丿丶丶	尺ㄋ一丿丶丶
昨	日乍丿一丨一	日乍丿一丨一
黎	禾勹丿丨丶一	禾勹丿丨丶一
辈	非车一ㄋ一丨	非车一ㄋ一丨
贯	母贝丨ㄋ丿丶	母贝丨ㄋ丿丶
侦	亻卜丨ㄋ丿丶	亻卜丨ㄋ丿丶
滑	氵骨丨ㄋㄋ丶	氵骨丨ㄋㄋ丶
券	刀ㄋ丿丿丿	刀ㄋ丿丿丿
崇	山宀一一丨丿	山宀一一丨丿
扰	扌尢丶丶丶丶	扌尢丶丶丶丶
宪	宀先丿一丨一	宀先丿一丨一
绕	纟尧一ㄋ丿一	纟尧一ㄋ丿一
趋	走刍丿ㄋㄋ一	走刍丿ㄋㄋ一
慈	䒑幺ㄋㄋ丶丶	首幺ㄋㄋ丶丶
乔	天刂丿丨丨丨	天刂丿丨丨丨
阅	门𠮦丿ㄋㄋㄋ	门兑丿ㄋㄋㄋ
汗	氵舌一一丨丨	氵舌一一丨丨
枝	木十ㄋ丶丶丶	木十ㄋ丶丶丶
拖	扌ㄋ丨ㄋㄋ	扌ㄋ丨ㄋㄋ
墨	黑土一丨一一	黑土一丨一一
胁	月力丿丶丶丶	月力丿丶丶丶
插	扌舌丿丨一ㄋ	扌舌丿丨一ㄋ
箭	前丶丿一丨	前丶丿一丨
腊	月共丨ㄋ一一	月共丨ㄋ一一
粉	米分丿丶ㄋ丿	米分丿丶ㄋ丿
泥	氵尸丿ㄋㄋㄋ	氵尸丿ㄋㄋㄋ
氏	氏丿ㄋ一ㄋㄋ	氏丿ㄋ一ㄋㄋ
彭	壴川丿丿丿丿	壴川丿丿丿丿
拔	扌石ㄋ丶丶丶	扌石ㄋ丶丶丶
骗	马户丨ㄋ一丨	马户丨ㄋ一丨
凤	几双ㄋ丶丶丶	几双ㄋ丶丶丶
慧	丰丰ㄋ一一丶	丰丰ㄋ一一丶
媒	女甘一丨丿丶	女甘一丨丿丶
佩	亻几一丨ㄋ丨	亻几一丨ㄋ丨
愤	忄十一丨丨丨	忄十一丨丨丨
扑	扌卜丨丶丶丶	扌卜丨丶丶丶
龄	止令丿丶丶ㄋ	止令丿丶丶ㄋ
驱	马区一丿丶ㄋ	马区一丿丶ㄋ
惜	忄共丨ㄋ一一	忄共丨ㄋ一一
豪	豕一丿ㄋ丿	豕一丿ㄋ丿
掩	扌大丨ㄋ一一	扌大丨ㄋ一一
兼	兼丶丿一ㄋ一	兼丶丿一ㄋ一
跃	天丿一丿丶	天丿一丿丶
尸	尸ㄋ一丿丿丿	尸ㄋ一丿丿丿
肃	聿刂丿丶丶丶	聿刂丿丶丶丶
帕	巾白丿丨ㄋ一	巾白丿丨ㄋ一
驶	马口丿丶丶丶	马口丿丶丶丶
堡	亻呆一丨一一	亻呆一丨一一
届	尸甲丨ㄋ一丨	尸甲丨ㄋ一丨
欣	丘欠丿ㄋ丿丶	丘欠丿ㄋ丿丶
惠	笔日丨一丶丶	笔日丨一丶丶
册	冂冂一一一一	冂冂一一一一
储	亻讠一丨一丿	亻讠一丨一丿
飘	西示丿ㄋ丿丶	西示丿ㄋ丿丶
桑	双双一丨丿丶	双双一丨丿丶
闲	门木一丨丿丶	门木一丨丿丶
惨	忄厶丿丿丿丿	忄厶丿丿丿丿
洁	氵吉一丨一丨	氵吉一丨一丨
踪	宀一一丨丿	宀一一丨丿
勃	子ㄋ丿丿丿	子ㄋ丿丿丿
宾	宀丘丿丶丶丶	宀丘丿丶丶丶
频	止小一丿丨ㄋ	止小一丿丨ㄋ
仇	亻九丿ㄋㄋㄋ	亻九丿ㄋㄋㄋ
磨	麻石一丿丨ㄋ	麻石一丿丨ㄋ
递	弓辶丶ㄋ丶丶	弓辶丶ㄋ丶丶
邪	牙耳ㄋ丨丨丨	牙耳ㄋ丨丨丨
撞	扌立丨ㄋ一一	扌立丨ㄋ一一
拟	扌以ㄋ丶丿丶	扌以ㄋ丶丿丶
滚	氵六ㄋ丶丶丶	氵六ㄋ丶丶丶
奏	天丿一丿丶	天丿一丿丶
巡	川辶丶ㄋ丶丶	川辶丶ㄋ丶丶
颜	立广丿丿丿一	立广丿丿丿一
剂	文刂丨丨丨丨	文刂丨丨丨丨
绩	纟丰丨ㄋ丿丶	纟丰丨ㄋ丿丶
贡	工贝丨ㄋ丿丶	工贝丨ㄋ丿丶
疯	疒几丿丶丶丶	疒几丿丶丶丶
坡	土皮ㄋ丿丨ㄋ	土皮ㄋ丿丨ㄋ
瞧	目隹丶丶丶丶	目隹丶丶丶丶
截	隹丿丨丶一	隹丿丨丶一
燃	火歹一丿丶丶	火歹一丿丶丶
焦	隹水丶丶丶丶	隹水丶丶丶丶
殿	尸共丿ㄋㄋ丶	尸共丿ㄋㄋ丶
伪	亻笔ㄋ丿丶丶	亻笔ㄋ丿丶丶
柳	木留丿ㄋ丿ㄋ	木留丿ㄋ丿ㄋ
锁	金丨ㄋ丿丶	金丨ㄋ丿丶
逼	鬲田丶ㄋ丶丶	鬲田丶ㄋ丶丶
颇	皮页一丿丨ㄋ	皮页一丿丨ㄋ
昏	氏日丨ㄋ一一	氏日丨ㄋ一一
劝	双力ㄋ丿丿丿	双力ㄋ丿丿丿
呈	口王一一丨一	口王一一丨一
搜	扌鼠丨ㄋ丶丶	扌鼠丨ㄋ丶丶
勤	堇力ㄋ丿丿丿	堇力ㄋ丿丿丿
戒	戋开一丿丨丨	戋开一丿丨丨
驾	加马ㄋㄋ一一	加马ㄋㄋ一一
漂	氵西一一丨丿	氵西一一丨丿
饮	食欠丿ㄋ丿丶	食欠丿ㄋ丿丶
曹	笔甲丨ㄋ一一	笔甲丨ㄋ一一
朵	几木一丨丿丶	几木一丨丿丶
仔	亻子ㄋ丨一一	亻子ㄋ丨一一
柔	矛木一丨丿丶	矛木一丨丿丶
俩	亻丙丿丶丿丶	亻丙丿丶丿丶
孟	子四丨ㄋ丨丨	子四丨ㄋ丨丨
腐	广亻一丨丶丨	广亻一丨丶丨
幼	幺力ㄋ丿丿丿	幺力ㄋ丿丿丿
践	戋一一ㄋ丿	戋一一ㄋ丿
籍	未一丨丨一	未一丨丨一
牧	牛文丿一丿丶	牛文丿一丿丶
凉	冫京丶一丨ㄋ	冫京丶一丨ㄋ
牲	牛生丿一一丨	牛生丿一一丨
佳	亻圭一丨一一	亻圭一丨一一
娜	女刀ㄋ丨丨丨	女刀ㄋ丨丨丨
浓	氵农丶ㄋ丿ㄋ	氵农丶ㄋ丿ㄋ
芳	艹方丶一ㄋ丿	艹方丶一ㄋ丿
稿	禾丨ㄋ一一	禾丨ㄋ一一
竹	丿一丨丿一	丿一丨丿一
腹	月丨ㄋ一一	月丨ㄋ一一
跌	笔一一丿丶	笔一一丿丶
逻	四歹丶ㄋ丶丶	四歹丶ㄋ丶丶
垂	垂丿一丨一丨	垂丿一丨一丨
遵	酋寸丶ㄋ丶丶	酋寸丶ㄋ丶丶
脉	月笔ㄋㄋ丿丶	月笔ㄋㄋ丿丶
貌	豸白丿ㄋㄋㄋ	豸白丿ㄋㄋㄋ
柏	木白丿丨ㄋ一	木白丿丨ㄋ一
狱	犬讠一丿丶丶	犬讠一丿丶丶
猜	犬青一一丨一	犬青一一丨一
怜	忄令丿丶丶ㄋ	忄令丿丶丶ㄋ
惑	戋口一丶ㄋ丶	戋口一丶ㄋ丶
陶	耳勹丿一一丨	耳勹丿一一丨
兽	冫田一丨ㄋ一	冫田一丨ㄋ一
帐	巾长丿一ㄋ丶	巾长丿一ㄋ丶
饰	食丨ㄋ丨丨	食丨ㄋ丨丨
贷	代贝丨ㄋ丿丶	代贝丨ㄋ丿丶
昌	日日丨ㄋ一一	日日丨ㄋ一一
叙	亼木ㄋ丶丶丶	亼木ㄋ丶丶丶
躺	身丨ㄋ丨ㄋ	身丨ㄋ丨ㄋ
钢	金冂丿丶丶丶	金冂丿丶丶丶
沟	氵勹ㄋ丶丶丶	氵勹ㄋ丶丶丶
寄	宀大一丨ㄋ一	宀大一丨ㄋ一
扶	扌夫一一丿丶	扌夫一一丿丶
铺	金甫一丨ㄋ一	金甫一丨ㄋ一
邓	双耳ㄋ丨丨丨	双耳ㄋ丨丨丨
寿	丰寸一丨丶丶	丰寸一丨丶丶
惧	忄目丿丶丶丶	忄目丿丶丶丶
询	讠勹丨ㄋ一一	讠勹丨ㄋ一一
汤	氵㇉丿丿丿丿	氵Z丿丿丿丿
盗	次四丨ㄋ丨丨	次四丨ㄋ丨丨
肥	月巴ㄋ丨一ㄋ	月巴ㄋ丨一ㄋ
尝	冖一一ㄋ丶	冖一一ㄋ丶
匆	勿笔丶丶丶丶	勿笔丶丶丶丶
辉	光冖一ㄋ一丨	光冖一ㄋ一丨
奈	大示一一丨丿	大示一一丨丿
扣	扌口丨ㄋ一一	扌口丨ㄋ一一
廷	王辶ㄋ丶丶丶	王辶ㄋ丶丶丶
澳	氵丶丿一丨	氵丶丿一丨
嘛	口麻丶一丿一	口麻丶一丿一
董	艹舌丨ㄋ一一	艹舌丨ㄋ一一
迁	舌辶丶ㄋ丶丶	舌辶丶ㄋ丶丶
凝	冫七丿一一丿	冫七丿一一丿
慰	尸示一丨丶丶	尸示一丨丶丶
厌	广犬一丿丶丶	广犬一丿丶丶
脏	月广一丨一一	月广一丨一一
腾	月ㄋㄋ一一	月ㄋㄋ一一
幽	山幺ㄋㄋ丶丶	山幺ㄋㄋ丶丶
怨	歹巴丶ㄋ丶丶	歹巴丶ㄋ丶丶
鞋	革圭一丨一一	革圭一丨一一
丢	笔去一丨一ㄋ	笔去一丨一ㄋ
埋	土田丨ㄋ一一	土田丨ㄋ一一
泉	白水丨ㄋ丿丶	白水丨ㄋ丿丶
涌	氵甬ㄋ丶丨ㄋ	氵甬ㄋ丶丨ㄋ
辖	车宀一一一丨	车宀一一一丨
躲	身几一丨丿丶	身几一丨丿丶
晋	亚日丨ㄋ一一	亚日丨ㄋ一一
